4830,ActorID,Name,Date of Birth,Birth City,Birth Country,Height (Inches),Biography,Gender,Ethnicity,NetWorth
4831,1.0,John Travolta,2/18/1954,Englewood,USA,74.0,"John Joseph Travolta was born in Englewood, New Jersey, one of six children of Helen Travolta (n�e Helen Cecilia Burke) and Salvatore/Samuel J. Travolta. His father was of Italian descent and his mother was of Irish ancestry. His father owned a tire repair shop called Travolta Tires in Hillsdale, NJ. Travolta started acting appearing in a local ...",Male,White,
4832,2.0,Kirstie Alley,1/12/1951,Wichita,USA,67.0,,Female,white,
4833,3.0,Olympia Dukakis,6/20/1931,Lowell,USA,63.0,"Long a vital, respected lady of the classic and contemporary stage this grand lady did not become a household name and sought-after film actress until age 56 when she turned in a glorious, Oscar-winning perf as Cher's sardonic mother in the romantic comedy Moonstruck (1987). Since then movie (and TV) fans have discovered what the East coast ...",Female,white,
4834,4.0,George Segal,2/13/1934,Great Neck,USA,71.0,,Male,white,
4835,5.0,Abe Vigoda,2/24/1921,Brooklyn,USA,73.0,,Male,white,
4836,6.0,Bruce Willis,3/19/1955,Idar-Oberstein,West Germany,72.0,"Actor and musician Bruce Willis is well known for playing wisecracking or hard-edged characters, often in spectacular action films. Collectively, he has appeared in films that have grossed in excess of $2.5 billion USD, placing him in the top ten stars in terms of box office receipts. Walter Bruce Willis was born on March 19, 1955, in ...",Male,white,
4837,7.0,Twink Caplan,12/25/1947,Pittsburgh,USA,62.0,,Female,white,
4838,8.0,Jason Schaller,,,,,,Male,white,
4839,9.0,Jaryd Waterhouse,,,,,,Male,white,
4840,10.0,Morgan Freeman,6/1/1937,Memphis,USA,74.0,"With an authoritative voice and calm demeanor, this ever popular American actor has grown into one of the most respected figures in modern US cinema. Morgan was born on June 1, 1937 in Memphis, Tennessee, to Mayme Edna (Revere), a teacher, and Morgan Porterfield Freeman, a barber. The young Freeman attended Los Angeles City College before serving ...",Male,African American ,
4841,11.0,Jessica Tandy,6/7/1909,Stoke Newington,UK,64.0,"A beloved, twinkly blue-eyed doyenne of stage and screen, actress Jessica Tandy's career spanned nearly six and a half decades. In that span of time, she enjoyed an amazing film renaissance at age 80, something unheard of in a town that worships youth and nubile beauty. She was born Jessie Alice Tandy in London in 1909, the daughter of Jessie ...",Female,White,
4842,12.0,Dan Aykroyd,7/1/1952,Ottawa,Canada,72.0,"Daniel Edward Aykroyd was born on July 1, 1952 in Ottawa, Ontario, Canada, to Lorraine H�l�ne (Gougeon), a secretary from a French-Canadian family, and Samuel Cuthbert Peter Hugh Aykroyd, a civil engineer who advised prime minister Pierre Trudeau. Aykroyd attended Carleton University in 1969, where he majored in Criminology and Sociology, but he ...",Male,White,
4843,13.0,Patti LuPone,4/21/1949,Northport,USA,62.0,"Patti Ann LuPone (born April 21, 1949) is an American actress and singer, best known for her work in stage musicals. She has won two Grammy Awards, two Tony Awards, and two Olivier Awards. She is also a 2006 American Theater Hall of Fame inductee.",Female,White,
4844,14.0,Esther Rolle,11/8/1920,Pompano Beach,USA,,"Esther Rolle (November 8, 1920 – November 17, 1998) was an American actress. Rolle is best known for her role as Florida Evans, on the CBS television sitcom Maude, for two seasons (1972–1974), and its spin-off series Good Times, for five seasons (1974–77, 1978–79), for which Rolle was nominated for a Golden Globe Award for Best Actress - Television Series Musical or Comedy in 1976. In 1979, Rolle accepted the Emmy Award for Outstanding Supporting Actress in a Limited Series or Special: Summer of My German Soldier.",Female,African American ,
4845,15.0,Jo Ann Havrilla,,,,,,Female,White,
4846,16.0,William Hall Jr.,,,,,,Male,African American,
4847,17.0,Alvin M. Sugarman,,,,,,Female,white,
4848,18.0,Clarice F. Geigerman,,,,,,Female,white,
4849,19.0,Tom Cruise,7/3/1962,Syracuse,USA,67.0,"In 1976, if you had told fourteen year-old Franciscan seminary student Thomas Cruise Mapother IV that one day in the not too distant future he would be Tom Cruise, one of the top 100 movie stars of all time, he would have probably grinned and told you that his ambition was to join the priesthood. Nonetheless, this sensitive, deeply religious ...",Male,White ,
4850,20.0,Bryan Larkin,8/7/1973,Glasgow,Scotland,75.0,"Bryan Larkin (born 7 August 1973) is a Scottish actor, writer and producer.[1] Also a self-taught filmmaker, he was awarded the Trailblazer award at the Edinburgh International Film Festival[2] in 2009. He is perhaps best known for his role of Dolokhov in Outpost: Rise of the Spetsnaz directed by Kieran Parker.",Male,White,
4851,21.0,Raymond J. Barry,3/14/1939,Hempstead,USA,72.0,"Raymond J. Barry was born in New York, and attended Brown University, where he was a star athlete in football, basketball, and track. While there, he earned his degree in Philosophy and as a senior, was cast in the stage production of ""Picnic,"" where he played a football player. He then entered the Yale Drama School and after completing, acted in ...",Male,White,
4852,22.0,Caroline Kava,9/25/1949,Chicago,USA,64.0,"Caroline Kava (born September 25, 1949[1])[2] is an American actress and playwright of the 1986 Off-Broadway play, The Early Girl.",Female,White,
4853,23.0,Josh Evans,1/16/1971,New York,USA,70.0,"Joshua Evans is an American filmmaker, screenwriter, author and actor best known for his role in Born on the Fourth of July.",Male,White,
4854,24.0,Seth Allen,7/13/1941,Brooklyn,USA,,"Seth Allen was born on July 13, 1941 in Brooklyn, New York, USA. He was an actor, known for Prizzi's Honor (1985), The Hot Rock (1972) and Madigan (1968). He died on August 14, 1986 in New York City, New York.",Male,White,
4855,25.0,Jamie Talisman,,,,,,Male,White,
4856,26.0,Sean Stone,,,,,,Male,White,
4857,27.0,Anne Bobby,,,,,,Female,White,
4858,28.0,Kevin Costner,1/18/1955,Lynwood,USA,73.0,"Kevin Michael Costner was born on January 18, 1955 in Lynwood, California, the third child of Bill Costner, a ditch digger and ultimately an electric line servicer for Southern California Edison, and Sharon Costner (n�e Tedrick), a welfare worker. His older brother, Dan, was born in 1950. A middle brother died at birth in 1953. His father's job ...",Male,White,
4859,29.0,Amy Madigan,,,,,,Female,White,
4860,30.0,Gaby Hoffmann,,,,,,Female,White,
4861,31.0,Ray Liotta,12/18/1954,Newark,USA,72.0,"Intense is the word for Ray Liotta. He specializes in psychopathic characters who hide behind a cultivated charm. Even in his nice-guy roles in Field of Dreams (1989) and Operation Dumbo Drop (1995), you get the impression that something is smoldering inside of him. Liotta maintains a steady stream of work, completing multiple projects per year. ...",Male,White,
4862,32.0,Timothy Busfield,,,,,,Male,White,
4863,33.0,James Earl Jones,1/17/1931,Arkabutla,USA,73.0,"Widely regarded as the one of greatest stage and screen actors both in his native USA and internationally, James Earl Jones was born on January 17, 1931 in Arkabutla, Mississippi. At an early age, he started to take dramatic lessons to calm himself down. It appeared to work as he has since starred in many films over a 40-year period, beginning ...",Male,African American,
4864,34.0,Burt Lancaster,,,,,,Male,White,
