510,MovieID,ActorID,Character Name,creditOrder,pay,screentime
511,1,1,James,1,,
512,1,2,Mollie,2,,
513,1,3,Rosie,3,,
514,1,4,Albert,4,,
515,1,5,Grandpa,5,,
516,1,6,Mikey,6,,
517,1,7,Rona,7,,
518,1,8,Mikey,8,,
519,1,9,Mikey,9,,
520,2,10,Hoke Colburn,1,,
521,2,11,Daisy Werthan,2,,
522,2,12,Boolie Werthan,3,,
523,2,13,Florine Werthan (as Patti Lupone),4,,
524,2,14,Idella,5,,
525,2,15,Miss McClatchey (as Joann Havrilla),6,,
526,2,16,Oscar,7,,
527,2,17,Dr. Weil,8,,
528,2,18,Nonie,9,,
529,4,19,Ron Kovic,1,,
530,4,20,Young Ron,2,,
531,4,21,Mr. Kovic,3,,
532,4,22,Mrs. Kovic,4,,
533,4,23,Tommy Kovic,5,,
534,4,24,Young Tommy,6,,
535,4,25,Jimmy Kovic,7,,
536,4,26,Young Jimmy,8,,
537,4,27,Susanne Kovic,9,,
538,5,28,Ray Kinsella,1,,
539,5,29,Annie Kinsella,2,,
540,5,30,Karin Kinsella,3,,
541,5,31,Shoeless Joe Jackson,4,,
542,5,32,Mark,5,,
543,5,33,Terence Mann,6,,
544,5,34,Dr. Archibald 'Moonlight' Graham,7,,
545,5,35,Archie Graham,8,,
546,5,36,John Kinsella,9,,
547,6,37,Buck Russell,1,,
548,6,38,Tia Russell,2,,
549,6,30,Maizy Russell,3,,
550,6,39,Miles Russell,4,,
551,6,29,Chanice Kobolowski,5,,
552,6,40,Cindy Russell,6,,
553,6,41,Bob Russell,7,,
554,6,42,Marcie Dahlgren-Frost,8,,
555,6,43,Bug,9,,
556,7,44,Harry Burns,1,,
557,7,45,Sally Albright,2,,
558,7,46,Marie,3,,
559,7,47,Jess,4,,
560,7,48,Joe,5,,
561,7,49,Alice,6,,
562,7,50,Amanda,7,,
563,7,51,Stewardess,8,,
564,7,52,Man on Aisle,9,,
565,8,53,John Keating,1,,
566,8,54,Neil Perry,2,,
567,8,55,Todd Anderson,3,,
568,8,56,Knox Overstreet,4,,
569,8,57,Charlie Dalton,5,,
570,8,58,Richard Cameron,6,,
571,8,59,Steven Meeks,7,,
572,8,60,Gerard Pitts,8,,
573,8,61,Mr. Nolan,9,,
574,9,62,Gil,1,,
575,9,63,Karen,2,,
576,9,64,Helen,3,,
577,9,65,Frank,4,,
578,9,66,Nathan,5,,
579,9,67,Larry,6,,
580,9,68,Julie,7,,
581,9,69,Tod,8,,
582,9,70,Susan,9,,
583,10,71,Martin Riggs,1,,
584,10,72,Roger Murtaugh,2,,
585,10,73,Leo Getz,3,,
586,10,74,Arjen Rudd,4,,
587,10,75,Pieter Vorstedt,5,,
588,10,76,Rika Van Den Haas,6,,
589,10,77,Trish Murtaugh,7,,
590,10,78,Rianne Murtaugh,8,,
591,10,79,Captain Murphy,9,,
592,11,80,Oliver Rose,1,,
593,11,81,Barbara Rose,2,,
594,11,82,Gavin D'Amato,3,,
595,11,83,Susan,4,,
596,11,84,Josh at 17,5,,
597,11,85,Carolyn at 17,6,,
598,11,86,Harry Thurmont,7,,
599,11,87,Jason Larrabee,8,,
600,11,88,Man in Chair,9,,
601,12,89,Clark,1,,
602,12,90,Ellen,2,,
603,12,91,Audrey,3,,
604,12,92,Rusty,4,,
605,12,93,"Clark, Sr.",5,,
606,12,94,Nora,6,,
607,12,95,Art,7,,
608,12,96,Francis,8,,
609,12,97,Cousin Eddie Johnson,9,,
610,13,66,Wayne Szalinski,1,,
611,13,98,Big Russ Thompson,2,,
612,13,99,Diane Szalinski,3,,
613,13,100,Mae Thompson,4,,
614,13,101,Little Russ Thompson,5,,
615,13,102,Ron Thompson,6,,
616,13,103,Amy Szalinski,7,,
617,13,104,Nick Szalinski,8,,
618,13,105,Tommy Pervis,9,,
619,14,106,Batman,1,,0:32
620,14,107,Joker,2,,0:32
621,14,108,Vicki Vale,3,,0:29
622,14,109,Alexander Knox,4,,0:08
623,14,110,Commissioner Gordon,5,,0:04
624,14,111,Harvey Dent,6,,0:02
625,14,112,Alfred,7,,0:04
626,14,113,Grissom,8,,0:03
627,14,114,Alicia,9,,
628,15,115,Dr. Peter Venkman,1,,
629,15,12,Dr. Raymond Stantz,2,,
630,15,116,Dana Barrett,3,,
631,15,117,Dr. Egon Spengler,4,,
632,15,66,Louis Tully,5,,
633,15,118,Winston Zeddemore,6,,
634,15,119,Janine Melnitz,7,,
635,15,120,Dr. Janosz Poha,8,,
636,15,121,The Judge,9,,
637,16,122,Louis,1,,
638,16,123,Eric,2,,
639,16,124,Ariel,3,,
640,16,125,Ursula,4,,
641,16,126,Flotsam,5,,
642,16,127,Scuttle,6,,
643,16,128,Flounder,7,,
644,16,129,Triton,8,,
645,16,130,Carlotta,9,,
646,17,131,Marty McFly,1,,
647,17,132,Doctor Emmett Brown,2,,
648,17,133,Lorraine,3,,
649,17,134,Biff Tannen,4,,
650,17,135,Jennifer,5,,
651,17,136,Strickland,6,,
652,17,137,George McFly,7,,
653,17,138,3-D,8,,
654,17,139,Match,9,,
655,18,140,Indiana Jones,1,,
656,18,141,Professor Henry Jones,2,,
657,18,142,Marcus Brody,3,,
658,18,143,Elsa,4,,
659,18,144,Sallah,5,,
660,18,145,Walter Donovan,6,,
661,18,146,Young Indy,7,,
662,18,147,Vogel,8,,
663,18,148,Kazim,9,,
664,20,149,M'Lynn Eatenton,1,,
665,20,150,Truvy Jones,2,,
666,20,151,Ouiser Boudreaux,3,,
667,20,152,Annelle Dupuy Desoto,4,,
668,20,3,Clairee Belcher,5,,
669,20,153,Shelby Eatenton Latcherie,6,,
670,20,154,Drum Eatenton,7,,
671,20,155,Spud Jones,8,,
672,20,156,Jackson Latcherie,9,,
673,22,157,April O'Neil,1,,
674,22,158,Casey Jones,2,,
675,22,159,Raphael (voice),3,,
676,22,160,Leonardo,4,,
677,22,161,Leonardo,5,,
678,22,162,Donatello,6,,
679,22,163,Donatello,7,,
680,22,164,Michaelangelo,8,,
681,22,165,Michaelangelo,9,,
682,23,166,Edward Lewis,1,,
683,23,153,Vivian Ward,2,,
684,23,167,James Morse,3,,
685,23,168,Philip Stuckey,4,,
686,23,169,Kit De Luca,5,,
687,23,170,David Morse,6,,
688,23,171,Elizabeth Stuckey,7,,
689,23,172,Bridget,8,,
690,23,173,Barney Thompson,9,,
691,24,174,Kimble,1,,
692,24,175,Joyce,2,,
693,24,176,Phoebe,3,,
694,24,177,Miss Schlowski,4,,
695,24,178,Crisp,5,,
696,24,179,Eleanor Crisp,6,,
697,24,180,Dominic,7,,
698,24,181,Dominic,8,,
699,24,182,Sylvester's Mother,9,,
700,25,39,Kevin,1,,
701,25,73,Harry,2,,
702,25,183,Marv,3,,
703,25,184,Peter,4,,
704,25,185,Marley,5,,
705,25,186,Kate,6,,
706,25,187,Linnie,7,,
707,25,188,Buzz,8,,
708,25,189,Uncle Frank,9,,
709,26,71,Rick Jarmin,1,,
710,26,190,Marianne Graves,2,,
711,26,191,Eugene Sorenson,3,,
712,26,192,Albert Diggs,4,,
713,26,193,Joe Weyburn,5,,
714,26,194,Rachel Varney,6,,
715,26,195,Marvin,7,,
716,26,196,Lou Baird,8,,
717,26,197,Raun,9,,
718,27,198,Paul Sheldon,1,,
719,27,199,Annie Wilkes,2,,
720,27,200,Buster,3,,
721,27,201,Virginia,4,,
722,27,202,Marcia Sindell,5,,
723,27,203,Libby,6,,
724,27,204,Pete,7,,
725,27,205,Anchorman (as Tom Brunelle),8,,
726,27,206,Anchorwoman,9,,
727,28,207,Edward Scissorhands,1,,
728,28,208,Kim,2,,
729,28,64,Peg,3,,
730,28,209,Jim,4,,
731,28,210,Joyce,5,,
732,28,104,Kevin,6,,
733,28,211,Helen,7,,
734,28,212,Marge,8,,
735,28,213,Officer Allen,9,,
736,29,214,Sam Wheat,1,,
737,29,215,Molly Jensen,2,,
738,29,216,Carl Bruner,3,,
739,29,217,Elevator Man,4,,
740,29,218,Elevator Man,5,,
